Age,Gender,Education_Level,Job_Title,Years_of_Experience,Experience_categories,Salary
34,Female,Masters,UX Designer,5,Intermediate,80000
48,Male,Masters,Operations Director,18,Senior,190000
30,Male,Bachelors,Network Engineer,3,Intermediate,60000
36,Female,Bachelors,Administrative Assistant,8,Mid-Level,45000
41,Male,Masters,Strategy Consultant,13,Senior,130000
28,Female,Bachelors,Copywriter,2,Intermediate,40000
32,Male,Bachelors,Account Manager,5,Intermediate,75000
45,Female,Masters,Director of Marketing,16,Senior,180000
38,Male,PhD,Senior Scientist,11,Senior,120000
25,Male,Bachelors,Help Desk Analyst,0,Fresher,35000
51,Female,Bachelors,Customer Service Manager,22,Senior,130000
33,Male,Masters,Business Intelligence Analyst,7,Mid-Level,85000
40,Female,Bachelors,Event Coordinator,12,Senior,60000
47,Male,Masters,VP of Finance,19,Senior,200000
29,Female,Bachelors,Graphic Designer,3,Intermediate,50000
36,Male,Bachelors,Sales Manager,9,Mid-Level,95000
27,Female,Masters,UX Researcher,2,Intermediate,65000
43,Male,PhD,Senior Engineer,17,Senior,140000
30,Female,Bachelors,Social Media Manager,4,Intermediate,55000
35,Male,Masters,Product Manager,7,Mid-Level,105000
51,Female,Masters,Director of Operations,23,Senior,170000
29,Male,Bachelors,Marketing Analyst,3,Intermediate,50000
40,Female,Bachelors,HR Manager,12,Senior,80000
47,Male,PhD,Senior Data Scientist,21,Senior,180000
26,Male,Bachelors,Junior Accountant,1,Fresher,35000
38,Female,Masters,Digital Marketing Manager,10,Mid-Level,90000
46,Male,Bachelors,IT Manager,19,Senior,120000
31,Female,Bachelors,Customer Service Rep,5,Intermediate,45000
34,Male,Masters,Business Development Manager,8,Mid-Level,90000
49,Female,Masters,Senior Financial Analyst,18,Senior,150000
33,Male,Bachelors,Web Developer,6,Mid-Level,65000
39,Female,Bachelors,Recruiter,11,Senior,70000
45,Male,PhD,Research Director,16,Senior,190000
28,Male,Bachelors,Technical Support Specialist,2,Intermediate,40000
42,Female,Masters,Creative Director,14,Senior,120000
37,Male,Bachelors,Project Manager,10,Mid-Level,95000
50,Female,Bachelors,Operations Manager,22,Senior,160000
32,Male,Masters,Senior Software Engineer,6,Mid-Level,100000
48,Female,Masters,Human Resources Director,20,Senior,180000
30,Female,Bachelors,Content Marketing Manager,3,Intermediate,55000
36,Male,Bachelors,Technical Recruiter,8,Mid-Level,70000
41,Female,Masters,Data Analyst,13,Senior,80000
25,Male,Bachelors,Sales Representative,0,Fresher,30000
52,Male,PhD,Chief Technology Officer,24,Senior,250000
29,Female,Bachelors,Junior Designer,2,Intermediate,40000
34,Female,Masters,Financial Advisor,10,Mid-Level,95000
27,Male,Bachelors,Junior Account Manager,2,Intermediate,45000
40,Female,Bachelors,HR Generalist,15,Senior,80000
46,Male,Masters,Senior Project Manager,21,Senior,135000
31,Female,Bachelors,Marketing Coordinator,6,Mid-Level,55000
36,Male,PhD,Principal Scientist,11,Senior,120000
29,Female,Bachelors,Sales Associate,3,Intermediate,40000
43,Male,Bachelors,Supply Chain Manager,18,Senior,105000
52,Female,Masters,Senior Marketing Manager,25,Senior,170000
33,Male,Bachelors,Business Analyst,7,Mid-Level,75000
39,Female,Bachelors,Training Specialist,12,Senior,65000
47,Male,PhD,Research Scientist,22,Senior,160000
26,Male,Bachelors,Junior Software Developer,1,Fresher,35000
38,Female,Masters,Public Relations Manager,10,Mid-Level,90000
45,Male,Bachelors,Operations Analyst,20,Senior,110000
31,Female,Bachelors,Event Coordinator,5,Intermediate,45000
35,Male,Masters,Product Marketing Manager,8,Mid-Level,95000
49,Female,Masters,Senior HR Manager,19,Senior,150000
33,Male,Bachelors,Junior Web Developer,5,Intermediate,50000
39,Female,Masters,Senior Project Coordinator,13,Senior,80000
44,Male,PhD,Chief Data Officer,16,Senior,220000
30,Female,Bachelors,Digital Content Producer,3,Intermediate,50000
36,Male,Bachelors,IT Support Specialist,7,Mid-Level,60000
41,Female,Masters,Senior Marketing Analyst,14,Senior,100000
28,Male,Bachelors,Customer Success Manager,2,Intermediate,40000
42,Female,Masters,Senior Graphic Designer,15,Senior,110000
37,Male,Bachelors,Software Project Manager,9,Mid-Level,95000
50,Female,Bachelors,Supply Chain Analyst,22,Senior,130000
32,Male,Masters,Senior Business Analyst,6,Mid-Level,90000
23,Female,Bachelors,Junior Marketing Analyst,0.5,Fresher,35000
31,Male,Masters,Senior Financial Analyst,6,Mid-Level,95000
40,Female,Bachelors,Office Manager,15,Senior,65000
48,Male,PhD,Principal Engineer,20,Senior,170000
29,Female,Bachelors,Junior HR Generalist,3,Intermediate,45000
35,Male,Masters,Senior Product Manager,10,Mid-Level,120000
42,Female,Bachelors,Sales Manager,17,Senior,100000
53,Male,Masters,Director of Marketing,25,Senior,180000
33,Female,Bachelors,Junior Operations Analyst,5,Intermediate,50000
38,Male,Bachelors,Customer Service Manager,11,Senior,80000
44,Female,PhD,Senior Scientist,16,Senior,140000
26,Male,Bachelors,Junior Accountant,2,Intermediate,40000
37,Female,Masters,Senior HR Generalist,9,Mid-Level,95000
45,Male,Bachelors,Sales Operations Manager,18,Senior,110000
32,Female,Bachelors,Marketing Coordinator,4,Intermediate,50000
34,Male,Masters,Senior Software Developer,8,Mid-Level,105000
50,Female,Masters,Director of Operations,21,Senior,160000
29,Male,Bachelors,Junior Web Designer,3,Intermediate,45000
40,Female,Masters,Senior Training Specialist,12,Senior,100000
47,Male,PhD,Senior Research Scientist,22,Senior,160000
27,Male,Bachelors,Junior Sales Representative,1,Fresher,35000
39,Female,Bachelors,Administrative Assistant,10,Mid-Level,55000
46,Male,Masters,Senior Project Manager,19,Senior,140000
30,Female,Bachelors,Junior Marketing Manager,4,Intermediate,50000
36,Male,Bachelors,Junior Data Analyst,7,Mid-Level,60000
43,Female,Masters,Senior Product Marketing Manager,14,Senior,120000
28,Male,Bachelors,Junior Business Analyst,2,Intermediate,40000
41,Female,Masters,Senior Marketing Manager,13,Senior,110000
33,Male,Bachelors,Junior Software Developer,5,Intermediate,50000
47,Male,Bachelors,Senior Sales Manager,20,Senior,135000
25,Female,Masters,Junior Marketing Specialist,1.5,Intermediate,40000
34,Male,Bachelors,Senior Business Analyst,8,Mid-Level,90000
42,Female,PhD,Senior Data Scientist,16,Senior,150000
31,Male,Bachelors,Junior Project Manager,4,Intermediate,60000
38,Female,Bachelors,Senior Accountant,10,Mid-Level,80000
45,Male,Masters,Director of Sales,19,Senior,175000
29,Female,Bachelors,Junior Recruiter,3,Intermediate,45000
36,Male,Masters,Senior Business Development Manager,11,Senior,120000
43,Female,PhD,Senior Product Designer,18,Senior,140000
26,Male,Bachelors,Junior Customer Support Specialist,2,Intermediate,35000
37,Female,Masters,Senior Marketing Analyst,9,Mid-Level,95000
44,Male,Bachelors,Senior IT Support Specialist,14,Senior,110000
32,Female,Bachelors,Junior Financial Analyst,5,Intermediate,50000
33,Male,Masters,Senior Operations Manager,7,Mid-Level,115000
51,Female,PhD,Director of HR,23,Senior,185000
28,Male,Bachelors,Junior Software Engineer,2,Intermediate,40000
39,Female,Bachelors,Senior Sales Representative,12,Senior,90000
48,Male,Masters,Director of Product Management,21,Senior,175000
30,Female,Bachelors,Junior Copywriter,3,Intermediate,45000
35,Male,Bachelors,Senior Marketing Coordinator,7,Mid-Level,80000
41,Female,Masters,Senior Human Resources Manager,13,Senior,120000
27,Male,Bachelors,Junior Business Development Associate,1.5,Intermediate,35000
40,Female,Bachelors,Senior Account Manager,14,Senior,110000
46,Male,PhD,Senior Researcher,18,Senior,150000
31,Female,Bachelors,Junior HR Coordinator,4,Intermediate,50000
34,Male,Masters,Senior Software Engineer,9,Mid-Level,105000
50,Female,Masters,Director of Finance,20,Senior,180000
29,Male,Bachelors,Junior Marketing Coordinator,2,Intermediate,40000
43,Male,Bachelors,Senior Project Manager,16,Senior,140000
26,Female,Masters,Junior Data Scientist,1.5,Intermediate,45000
35,Male,Bachelors,Senior Operations Analyst,7,Mid-Level,85000
42,Female,PhD,Senior Marketing Manager,18,Senior,140000
31,Male,Bachelors,Junior Accountant,4,Intermediate,50000
38,Female,Bachelors,Senior Human Resources Coordinator,10,Mid-Level,80000
46,Male,Masters,Director of Operations,20,Senior,170000
29,Female,Bachelors,Junior Sales Representative,2,Intermediate,40000
37,Male,Masters,Senior Business Analyst,9,Mid-Level,105000
44,Female,PhD,Senior UX Designer,15,Senior,145000
27,Male,Bachelors,Junior Product Manager,2,Intermediate,40000
36,Female,Bachelors,Senior Marketing Specialist,8,Mid-Level,85000
43,Male,Bachelors,Senior IT Project Manager,14,Senior,130000
33,Female,Masters,Senior Financial Analyst,6,Mid-Level,95000
34,Male,Bachelors,Senior Quality Assurance Analyst,9,Mid-Level,100000
50,Female,PhD,Director of Sales and Marketing,22,Senior,180000
28,Male,Bachelors,Junior Operations Analyst,1.5,Intermediate,35000
39,Female,Bachelors,Senior Account Executive,12,Senior,95000
47,Male,Masters,Director of Business Development,19,Senior,170000
30,Female,Bachelors,Junior Social Media Manager,3,Intermediate,45000
34,Male,Bachelors,Senior Product Manager,7,Mid-Level,95000
40,Female,Masters,Senior Human Resources Specialist,13,Senior,120000
28,Male,Bachelors,Junior Business Analyst,2,Intermediate,40000
41,Female,Bachelors,Senior Marketing Coordinator,11,Senior,90000
45,Male,PhD,Senior Data Analyst,17,Senior,155000
32,Female,Bachelors,Junior Account Manager,5,Intermediate,55000
35,Male,Masters,Senior Software Developer,9,Mid-Level,110000
49,Female,Masters,Director of Human Capital,21,Senior,180000
30,Male,Bachelors,Junior Advertising Coordinator,3,Intermediate,45000
44,Male,Bachelors,Senior Sales Manager,16,Senior,130000
27,Female,Masters,Junior UX Designer,1.5,Intermediate,45000
36,Male,Bachelors,Senior Accountant,7,Mid-Level,90000
41,Female,PhD,Senior Marketing Director,17,Senior,160000
31,Male,Bachelors,Junior HR Generalist,4,Intermediate,50000
39,Female,Bachelors,Senior Operations Manager,10,Mid-Level,120000
47,Male,Masters,Director of Finance,20,Senior,170000
30,Female,Bachelors,Junior Marketing Coordinator,2,Intermediate,40000
38,Male,Masters,Senior IT Consultant,9,Mid-Level,110000
45,Female,PhD,Senior Product Designer,15,Senior,150000
28,Male,Bachelors,Junior Business Development Associate,2,Intermediate,40000
35,Female,Bachelors,Senior Marketing Analyst,8,Mid-Level,85000
44,Male,Bachelors,Senior Software Engineer,14,Senior,130000
34,Female,Masters,Senior Financial Advisor,6,Mid-Level,100000
35,Male,Bachelors,Senior Project Coordinator,9,Mid-Level,95000
50,Female,PhD,Director of Operations,22,Senior,180000
29,Male,Bachelors,Junior Business Operations Analyst,1.5,Intermediate,35000
40,Female,Bachelors,Senior Sales Representative,12,Senior,100000
48,Male,Masters,Director of Marketing,19,Senior,170000
31,Female,Bachelors,Junior Social Media Specialist,3,Intermediate,45000
33,Male,Bachelors,Senior Product Development Manager,7,Mid-Level,100000
42,Female,Masters,Senior Human Resources Manager,13,Senior,140000
28,Male,Bachelors,Junior Financial Analyst,2,Intermediate,40000
40,Female,Bachelors,Senior Marketing Manager,11,Senior,105000
46,Male,PhD,Senior Data Scientist,18,Senior,160000
33,Female,Bachelors,Junior Operations Manager,5,Intermediate,70000
37,Male,Masters,Senior Software Architect,9,Mid-Level,120000
51,Female,Masters,Director of HR,21,Senior,190000
30,Male,Bachelors,Junior Marketing Specialist,3,Intermediate,45000
43,Male,Bachelors,Senior Project Manager,15,Senior,120000
27,Female,Masters,Junior Research Scientist,1.5,Intermediate,50000
35,Male,Bachelors,Senior Operations Analyst,8,Mid-Level,85000
42,Female,PhD,Senior Marketing Manager,13,Senior,140000
32,Male,Bachelors,Junior Sales Representative,3,Intermediate,45000
37,Female,Bachelors,Senior Financial Analyst,9,Mid-Level,100000
45,Male,Masters,Senior Software Developer,16,Senior,140000
33,Female,Bachelors,Junior Operations Analyst,5,Intermediate,70000
39,Male,Bachelors,Senior Marketing Specialist,10,Mid-Level,120000
44,Female,PhD,Senior HR Manager,18,Senior,160000
29,Male,Bachelors,Junior Business Analyst,1.5,Intermediate,40000
38,Female,Bachelors,Senior Product Manager,10,Mid-Level,120000
46,Male,PhD,Senior Data Analyst,19,Senior,150000
34,Female,Bachelors,Junior Marketing Analyst,6,Mid-Level,70000
36,Male,Bachelors,Senior Operations Manager,8,Mid-Level,95000
49,Female,Masters,Director of Marketing,21,Senior,180000
31,Male,Bachelors,Junior Financial Analyst,3,Intermediate,50000
41,Female,Bachelors,Senior Project Coordinator,11,Senior,95000
47,Male,Masters,Director of Operations,20,Senior,170000
30,Female,Bachelors,Junior Marketing Coordinator,2,Intermediate,40000
38,Male,Masters,Senior IT Consultant,9,Mid-Level,110000
45,Female,PhD,Senior Product Designer,15,Senior,150000
28,Male,Bachelors,Junior Business Development Associate,2,Intermediate,40000
35,Female,Bachelors,Senior Marketing Analyst,8,Mid-Level,85000
44,Male,Bachelors,Senior Software Engineer,14,Senior,130000
34,Female,Masters,Senior Financial Advisor,6,Mid-Level,100000
35,Male,Bachelors,Senior Project Coordinator,9,Mid-Level,95000
50,Female,PhD,Director of Operations,22,Senior,180000
29,Male,Bachelors,Junior Business Operations Analyst,1.5,Intermediate,350
37,Female,Bachelors,Senior Financial Manager,10,Mid-Level,120000
46,Male,PhD,Senior Data Scientist,18,Senior,160000
31,Female,Bachelors,Junior Marketing Coordinator,3,Intermediate,50000
42,Male,Bachelors,Senior Operations Manager,12,Senior,110000
29,Female,Bachelors,Junior Sales Representative,1.5,Intermediate,40000
36,Male,Bachelors,Senior Marketing Specialist,8,Mid-Level,95000
44,Female,Masters,Senior HR Specialist,15,Senior,140000
33,Male,Bachelors,Junior Operations Manager,4,Intermediate,60000
39,Female,Bachelors,Senior Marketing Coordinator,9,Mid-Level,110000
45,Male,PhD,Senior Data Engineer,16,Senior,150000
32,Female,Bachelors,Junior Marketing Manager,4,Intermediate,60000
37,Male,Bachelors,Senior Financial Analyst,8,Mid-Level,90000
47,Female,Masters,Director of Marketing,20,Senior,180000
30,Male,Bachelors,Junior Business Analyst,2,Intermediate,40000
38,Female,Bachelors,Senior Project Manager,9,Mid-Level,120000
46,Male,PhD,Senior Data Analyst,17,Senior,160000
34,Female,Bachelors,Junior Financial Analyst,5,Intermediate,70000
36,Male,Bachelors,Senior Product Manager,8,Mid-Level,95000
49,Female,Masters,Director of Operations,21,Senior,180000
31,Male,Bachelors,Junior Operations Analyst,3,Intermediate,50000
41,Female,Bachelors,Senior Project Coordinator,11,Senior,95000
47,Male,Masters,Director of Marketing,19,Senior,170000
29,Female,Bachelors,Junior Business Development Associate,1.5,Intermediate,35000
35,Male,Bachelors,Senior Financial Manager,9,Mid-Level,100000
44,Female,PhD,Senior Product Designer,15,Senior,150000
33,Male,Bachelors,Junior Business Analyst,4,Intermediate,60000
35,Female,Bachelors,Senior Marketing Analyst,8,Mid-Level,85000
44,Male,Bachelors,Senior Software Engineer,13,Senior,130000
32,Male,Bachelors,Junior Product Manager,4,Intermediate,65000
38,Female,Bachelors,Senior Business Analyst,10,Mid-Level,110000
49,Male,PhD,Director of Operations,21,Senior,180000
29,Female,Bachelors,Junior Marketing Specialist,2,Intermediate,40000
35,Male,Bachelors,Senior Business Development Manager,7,Mid-Level,90000
45,Female,Masters,Senior HR Manager,14,Senior,140000
33,Male,Bachelors,Junior Financial Analyst,4,Intermediate,60000
40,Female,Bachelors,Senior Marketing Manager,12,Senior,130000
44,Male,PhD,Senior Data Scientist,16,Senior,160000
30,Female,Bachelors,Junior Operations Coordinator,2,Intermediate,40000
37,Male,Bachelors,Senior Marketing Analyst,9,Mid-Level,100000
48,Female,Masters,Director of HR,20,Senior,180000
31,Male,Bachelors,Junior Project Manager,3,Intermediate,55000
38,Female,Bachelors,Senior Operations Coordinator,9,Mid-Level,120000
45,Male,PhD,Senior Data Engineer,16,Senior,150000
33,Female,Bachelors,Junior Marketing Manager,5,Intermediate,70000
36,Male,Bachelors,Senior Business Analyst,8,Mid-Level,95000
49,Female,Masters,Director of Marketing,21,Senior,180000
31,Male,Bachelors,Junior Operations Analyst,3,Intermediate,50000
42,Female,Bachelors,Senior Project Manager,12,Senior,120000
47,Male,Masters,Director of Marketing,19,Senior,170000
29,Female,Bachelors,Junior Business Development Associate,1.5,Intermediate,35000
35,Male,Bachelors,Senior Financial Manager,9,Mid-Level,100000
44,Female,PhD,Senior Product Designer,15,Senior,150000
33,Male,Bachelors,Junior Business Analyst,4,Intermediate,60000
35,Female,Bachelors,Senior Marketing Analyst,8,Mid-Level,85000
44,Male,Bachelors,Senior Software Engineer,13,Senior,130000
34,Female,Masters,Senior Financial Advisor,6,Mid-Level,80000
36,Male,Bachelors,Senior Marketing Specialist,8,Mid-Level,95000
30,Female,Bachelors,Junior HR Coordinator,2,Intermediate,40000
37,Male,Bachelors,Senior Business Development Manager,10,Mid-Level,120000
45,Female,Masters,Senior Marketing Manager,16,Senior,160000
32,Male,Bachelors,Junior Financial Advisor,4,Intermediate,65000
39,Female,Bachelors,Senior Project Manager,12,Senior,130000
47,Male,PhD,Director of Engineering,20,Senior,180000
29,Female,Bachelors,Junior Marketing Analyst,2,Intermediate,40000
36,Male,Bachelors,Senior Operations Manager,9,Mid-Level,100000
43,Female,PhD,Senior Data Scientist,15,Senior,150000
32,Male,Bachelors,Junior Marketing Coordinator,3,Intermediate,55000
38,Female,Bachelors,Senior Business Analyst,10,Mid-Level,110000
48,Male,Masters,Director of Marketing,21,Senior,180000
31,Female,Bachelors,Junior Business Development Associate,3,Intermediate,50000
40,Male,Bachelors,Senior Financial Analyst,12,Senior,130000
45,Female,PhD,Senior UX Designer,16,Senior,160000
33,Male,Bachelors,Junior Product Manager,4,Intermediate,60000
36,Female,Bachelors,Senior Marketing Manager,8,Mid-Level,95000
47,Male,Masters,Director of Operations,19,Senior,170000
29,Female,Bachelors,Junior Project Manager,2,Intermediate,40000
34,Male,Bachelors,Senior Operations Coordinator,7,Mid-Level,90000
44,Female,PhD,Senior Business Analyst,15,Senior,150000
33,Male,Bachelors,Junior Marketing Specialist,5,Intermediate,70000
35,Female,Bachelors,Senior Financial Manager,8,Mid-Level,90000
43,Male,Masters,Director of Marketing,18,Senior,170000
31,Female,Bachelors,Junior Financial Analyst,3,Intermediate,50000
41,Male,Bachelors,Senior Product Manager,14,Senior,150000
44,Female,PhD,Senior Data Engineer,16,Senior,160000
33,Male,Bachelors,Junior Business Analyst,4,Intermediate,60000
35,Female,Bachelors,Senior Marketing Analyst,8,Mid-Level,85000
45,Male,Masters,Director of Engineering,19,Senior,180000
28,Female,Bachelors,Junior Operations Manager,1,Fresher,35000
36,Male,Bachelors,Senior Business Development Manager,8,Mid-Level,110000
44,Female,PhD,Senior Data Scientist,16,Senior,160000
31,Male,Bachelors,Junior Marketing Coordinator,3,Intermediate,55000
38,Female,Bachelors,Senior Business Analyst,10,Mid-Level,110000
48,Male,Masters,Director of Marketing,21,Senior,180000
31,Female,Bachelors,Junior Business Development Associate,3,Intermediate,50000
40,Male,Bachelors,Senior Financial Analyst,12,Senior,130000
45,Female,PhD,Senior UX Designer,16,Senior,160000
33,Male,Bachelors,Junior Product Manager,4,Intermediate,60000
36,Female,Bachelors,Senior Marketing Manager,8,Mid-Level,95000
47,Male,Masters,Director of Operations,19,Senior,170000
29,Female,Bachelors,Junior Project Manager,2,Intermediate,40000
34,Male,Bachelors,Senior Operations Coordinator,7,Mid-Level,90000
44,Female,PhD,Senior Business Analyst,15,Senior,150000
33,Male,Bachelors,Junior Marketing Specialist,5,Intermediate,70000
35,Female,Bachelors,Senior Financial Manager,8,Mid-Level,90000
43,Male,Masters,Director of Marketing,18,Senior,170000
31,Female,Bachelors,Junior Financial Analyst,3,Intermediate,50000
41,Male,Bachelors,Senior Product Manager,14,Senior,150000
44,Female,PhD,Senior Data Engineer,16,Senior,160000
33,Male,Bachelors,Junior Business Analyst,4,Intermediate,60000
35,Female,Bachelors,Senior Marketing Analyst,8,Mid-Level,85000
43,Male,Masters,Director of Operations,19,Senior,170000
29,Female,Bachelors,Junior Project Manager,2,Intermediate,40000
34,Male,Bachelors,Senior Operations Coordinator,7,Mid-Level,90000
44,Female,PhD,Senior Business Analyst,15,Senior,150000
31,Male,Masters,Data Scientist,6,Mid-Level,160000
28,Female,Bachelors,Software Engineer,3,Intermediate,125000
26,Male,Masters,Product Manager,2,Intermediate,120000
27,Female,Bachelors,Data Analyst,2,Intermediate,110000
30,Male,PhD,Data Scientist,5,Intermediate,180000
29,Female,Bachelors,Software Engineer,4,Intermediate,140000
32,Male,Bachelors,Product Manager,7,Mid-Level,170000
25,Female,Masters,Data Analyst,1,Fresher,100000
33,Male,PhD,Data Scientist,8,Mid-Level,190000
31,Female,Bachelors,Software Engineer,6,Mid-Level,155000
28,Male,Masters,Product Manager,3,Intermediate,130000
30,Female,Bachelors,Data Analyst,5,Intermediate,145000
27,Male,PhD,Data Scientist,2,Intermediate,115000
29,Female,Bachelors,Software Engineer,4,Intermediate,140000
34,Male,Bachelors,Product Manager,9,Mid-Level,185000
25,Female,Masters,Data Analyst,1,Fresher,100000
33,Male,PhD,Data Scientist,8,Mid-Level,190000
31,Female,Bachelors,Software Engineer,6,Mid-Level,155000
28,Male,Masters,Product Manager,3,Intermediate,130000
30,Female,Bachelors,Data Analyst,5,Intermediate,145000
28,Male,Bachelors,Software Engineer,3,Intermediate,125000
26,Female,Masters,Product Manager,2,Intermediate,120000
27,Male,Bachelors,Data Analyst,2,Intermediate,110000
30,Female,PhD,Data Scientist,5,Intermediate,180000
29,Male,Bachelors,Software Engineer,4,Intermediate,140000
32,Male,Bachelors,Product Manager,7,Mid-Level,170000
25,Female,Masters,Data Analyst,1,Fresher,100000
33,Male,PhD,Data Scientist,8,Mid-Level,190000
31,Female,Bachelors,Software Engineer,6,Mid-Level,155000
28,Male,Masters,Product Manager,3,Intermediate,130000
30,Female,Bachelors,Data Analyst,5,Intermediate,145000
27,Male,PhD,Data Scientist,2,Intermediate,115000
29,Female,Bachelors,Software Engineer,4,Intermediate,140000
34,Male,Bachelors,Product Manager,9,Mid-Level,185000
25,Female,Masters,Data Analyst,1,Fresher,100000
33,Male,PhD,Data Scientist,8,Mid-Level,190000
31,Female,Bachelors,Software Engineer,6,Mid-Level,155000
28,Male,Masters,Product Manager,3,Intermediate,130000
30,Female,Bachelors,Data Analyst,5,Intermediate,145000
28,Male,Bachelors,Software Engineer,3,Intermediate,125000
26,Female,Masters,Product Manager,2,Intermediate,120000
27,Male,Bachelors,Data Analyst,2,Intermediate,110000
30,Female,PhD,Data Scientist,5,Intermediate,180000
29,Male,Bachelors,Software Engineer,4,Intermediate,140000
32,Male,Bachelors,Product Manager,7,Mid-Level,170000
25,Female,Masters,Data Analyst,1,Fresher,100000
33,Male,PhD,Data Scientist,8,Mid-Level,190000
31,Female,Bachelors,Software Engineer,6,Mid-Level,155000
28,Male,Masters,Product Manager,3,Intermediate,130000
30,Female,Bachelors,Data Analyst,5,Intermediate,145000
27,Male,PhD,Data Scientist,2,Intermediate,115000
29,Female,Bachelors,Software Engineer,4,Intermediate,140000
34,Male,Bachelors,Product Manager,9,Mid-Level,185000
25,Female,Masters,Data Analyst,1,Fresher,100000
33,Male,PhD,Data Scientist,8,Mid-Level,190000
31,Female,Bachelors,Software Engineer,6,Mid-Level,155000
28,Male,Masters,Product Manager,3,Intermediate,130000
30,Female,Bachelors,Data Analyst,5,Intermediate,145000
28,Male,Bachelors,Software Engineer,3,Intermediate,125000
26,Female,Masters,Product Manager,2,Intermediate,120000
27,Male,Bachelors,Data Analyst,2,Intermediate,110000
30,Female,PhD,Data Scientist,5,Intermediate,180000
29,Male,Bachelors,Software Engineer,4,Intermediate,140000
32,Male,Bachelors,Product Manager,7,Mid-Level,170000
25,Female,Masters,Data Analyst,1,Fresher,100000
33,Male,PhD,Data Scientist,8,Mid-Level,190000
31,Female,Bachelors,Software Engineer,6,Mid-Level,155000
28,Male,Masters,Product Manager,3,Intermediate,130000
30,Female,Bachelors,Data Analyst,5,Intermediate,145000
27,Male,PhD,Data Scientist,2,Intermediate,115000
29,Female,Bachelors,Software Engineer,4,Intermediate,140000
34,Male,Bachelors,Product Manager,9,Mid-Level,185000
25,Female,Masters,Data Analyst,1,Fresher,100000
33,Male,PhD,Data Scientist,8,Mid-Level,190000
31,Female,Bachelors,Software Engineer,6,Mid-Level,155000
28,Male,Masters,Product Manager,3,Intermediate,130000
30,Female,Bachelors,Data Analyst,5,Intermediate,145000
27,Male,PhD,Data Scientist,2,Intermediate,115000
29,Female,Bachelors,Software Engineer,4,Intermediate,140000
34,Male,Bachelors,Product Manager,9,Mid-Level,185000
25,Female,Masters,Data Analyst,1,Fresher,100000
33,Male,PhD,Data Scientist,8,Mid-Level,190000
31,Female,Bachelors,Software Engineer,6,Mid-Level,155000
28,Male,Masters,Product Manager,3,Intermediate,130000
30,Female,Bachelors,Data Analyst,5,Intermediate,145000
28,Male,Bachelors,Software Engineer,3,Intermediate,125000
26,Female,Masters,Product Manager,2,Intermediate,120000
27,Male,Bachelors,Data Analyst,2,Intermediate,110000
30,Female,PhD,Data Scientist,5,Intermediate,180000
29,Male,Bachelors,Software Engineer,4,Intermediate,140000
32,Male,Bachelors,Product Manager,7,Mid-Level,170000
25,Female,Masters,Data Analyst,1,Fresher,100000
33,Male,PhD,Data Scientist,8,Mid-Level,190000
31,Female,Bachelors,Software Engineer,6,Mid-Level,155000
28,Male,Masters,Product Manager,3,Intermediate,130000
30,Female,Bachelors,Data Analyst,5,Intermediate,145000
